ID,composition,temperature,target,log_target,family,ChemicalFamily,,,source
2011,(YPO4)0.9(Li3PO4)0.1,25,4.64E-07,-6.333347081,Zircon,Oxides,,,10.1149/1.1629102
489,Li3.2PO3.1N0.7,25,5.00E-07,-6.301029996,LISICON,Oxides and Other Anions,,,10.1149/1.1629102
382,Li1.3Cr0.3Hf1.7(PO4)3,25,5.26E-07,-6.279014256,NASICON,Oxides,,,10.1149/1.1629102
2,Li2OHBr,22.06,5.40E-07,-6.26760624,Anti-Perovskite,Oxides and Other Anions,,,10.1149/1.1629102
2020,Li3.75Si0.75P0.25O4,25,5.54E-07,-6.25635315,LISICON,Oxides,,,10.1149/1.1629102
2004,Li5Nd3Sb2O12,25,5.58E-07,-6.253253283,Garnet,Oxides,,,10.1149/1.1629102
326,LiHfTi(PO4)3,23,5.63E-07,-6.249491605,NASICON,Oxides,,,10.1016/S0167-2738(97)00015-5
408,Li2CrZr(PO4)3,25,5.91E-07,-6.228412519,NASICON,Oxides,,,
726,Li13.6Si2.8S1.2O16,25,6.00E-07,-6.22184875,LISICON,Oxides,,,10.1016/S0378-7753(97)02645-1
2021,LiCaTiNbO6,25,6.07E-07,-6.216929275,Perovskite,Oxides,,,10.1016/S0378-7753(97)02645-1
197,Li6La2SrNb2O12,25,6.21E-07,-6.2069084,Garnet,Oxides,,,
350,Li1.2Al1.1Ta0.9(PO4)3,30,6.50E-07,-6.187086643,NASICON,Oxides,,,10.1021/cm504518q
351,LiAlTa(PO4)3,30,6.50E-07,-6.187086643,NASICON,Oxides,,,10.1021/cm504518q
505,(Li2O)50((SeO2)0.5(B2O3)0.5)50,27,7.54E-07,-6.122628654,Glass,Oxides,,,10.1007/s11581-009-0332-6
,LiGe2(PO4)3,23.115,0.00000086,-6.071333752,NASICON,Oxides,,,10.1021/cm504518q
2003,Li3.09BO2.53N0.52,25,8.65E-07,-6.06311007,Glass,Oxides,,,10.1016/j.ssi.2003.12.037
553,Li3.4Ge0.4V0.6O4,30,8.89E-07,-6.051098239,LISICON,Oxides,,,10.1021/cm504518q
776,Li7La3Hf2O12,27,9.73E-07,-6.01188716,Garnet,Oxides,,,10.1016/j.ssi.2003.12.037
610,Li0.34Pr0.56TiO3,25,1.00E-06,-6,Perovskite,Oxides,,,10.1016/j.ssi.2003.12.037
381,Li1.1In0.1Hf1.9(PO4)3,25,1.00E-06,-6,NASICON,Oxides,,,10.1021/cm010528i
735,Li14ZnGe4O16,25,1.00E-06,-6,LISICON,Oxides,,,10.1016/S0167-2738(97)00018-0
652,LiSr2Ti2NbO9,25,1.00E-06,-6,Perovskite,Oxides,,,10.1007/s11164-013-1348-0
653,LiSrTiNbO6,25,1.00E-06,-6,Perovskite,Oxides,,,10.1016/j.jpowsour.2013.03.175
540,Li3.8Ge0.8P0.2O4,30,1.03E-06,-5.987162775,LISICON,Oxides,,,10.1016/S0955-2219(99)00055-2
504,Li3OBr,25,1.06E-06,-5.974694135,Anti-Perovskite,Oxides and Other Anions,,,10.1016/S0955-2219(99)00055-2
2026,Li4.8Si0.2Al0.8S4,25,1.07E-06,-5.971412549,Thio-LISICON,Sulphides,,,10.1016/0167-2738(93)90387-I
543,Li3.2Ge0.2P0.8O4,30,1.14E-06,-5.943095149,LISICON,Oxides,,,10.1016/0167-2738(93)90387-I
398,Li0.9Zr1.9Nb0.1(PO4)3,25,1.35E-06,-5.869666232,NASICON,Oxides,,,10.1016/0167-2738(93)90387-I
449,LiFeSb(PO4)3,30,1.37E-06,-5.863279433,NASICON,Oxides,,,10.1016/0167-2738(93)90387-I
431,Li1.05Al0.05Ti1.95(PO4),25,1.40E-06,-5.853871964,NASICON,Oxides,,,10.1016/0167-2738(93)90387-I
2030,Li6CoCl8,25,1.51E-06,-5.821821295,Rocksalt,Halides,,,10.1016/0167-2738(86)90179-7
816,Li6CaLa2Nb2O12,22,1.60E-06,-5.795880017,Garnet,Oxides,,,10.1016/0167-2738(93)90387-I
2018,Li4Al0.33Si0.17Ge0.17P0.33O4,25,1.61E-06,-5.792359875,LISICON,Oxides,,,10.1021/cm021717j
661,Li0.06La0.66Ti0.93Al0.06O3,27,1.68E-06,-5.774690718,Perovskite,Oxides,,,10.1021/cm021717j
135,(Li2S)0.3((Ga2S3)0.1(GeS2)0.9)0.7,25,1.89E-06,-5.7242281,Glass,Sulphides and Other Anions,,,10.1039/A807007E
615,Nd0.25Li0.25TaO3,25,1.91E-06,-5.718966633,Perovskite,Oxides,,,10.1016/0167-2738(93)90387-I
765,Li2SiS3,25,2.00E-06,-5.698970004,Thio-LISICON,Sulphides,,,10.1149/1.2086597
2005,Li5La3Sb2O12,25,2.06E-06,-5.685784276,Garnet,Oxides,,,10.1016/0167-2738(93)90387-I
890,Li6La2Ca(Nb)2O12,25,2.11E-06,-5.675717545,Garnet,Oxides,,,10.1149/1.2086597
221,Li6CaLa2Ta2O12,27,2.24E-06,-5.649751982,Garnet,Oxides,,,10.1016/0167-2738(93)90387-I
153,(LiCl)0.25((Li2O)0.6(P2O5)0.4)0.75,23.66,2.45E-06,-5.610833916,Glass,Oxides and Other Anions,,,10.1149/1.2086597
,Li5La3Ta2O12,24.5,0.000002655,-5.607570336,Garnet,Oxides,,,10.1149/1.2096693
228,Li7La3Ta2O13,30,2.65E-06,-5.576754126,Garnet,Oxides,,,10.1016/0167-2738(93)90387-I
551,Li3.8Ge0.8V0.2O4,30,2.71E-06,-5.567030709,LISICON,Oxides,,,10.1016/0167-2738(93)90387-I
861,Li1.6Ti1.7Mg0.3P3O12,25,2.80E-06,-5.552841969,NASICON,Oxides,,,10.1016/0167-2738(86)90179-7
189,(Li2S)0.4((Ga2S3)0.1(GeS2)0.9)0.6,21,2.87E-06,-5.542118103,Glass,Sulphides,,,10.1016/0167-2738(86)90179-7
862,(Li2S)7(LaOI)3,30,2.88E-06,-5.540607512,Glass-Ceramic,Sulphides and Other Anions,,,10.1016/0167-2738(86)90179-7
427,Li1.1Al0.1Ge1.9(PO4)3,25,2.90E-06,-5.537602002,NASICON,Oxides,,,10.1021/acs.inorgchem.6b02274
896,Li4.4Ga0.4Sn0.6S4,30,3.20E-06,-5.494850022,Thio-LISICON,Sulphides,,,10.1016/0167-2738(93)90387-I
2017,Li4Al0.33Si0.33P0.33O4,25,3.25E-06,-5.487904825,LISICON,Oxides,,,10.1149/1.2086597
388,LiHf2(PO4)3,25,3.80E-06,-5.420216403,NASICON,Oxides,,,10.3389/fenrg.2016.00012
815,Li6SrLa2Nb2O12,22,4.20E-06,-5.37675071,Garnet,Oxides,,,10.1016/j.ssi.2012.05.011
894,Li4.4Al0.4Sn0.6S4,30,4.39E-06,-5.35753548,Thio-LISICON,Sulphides,,,10.1007/s10008-012-1780-x
