MP ID,Formula,Energy Above Hull (eV),Band Gap (eV)
mp-557268,KLi4AlO4,0,3.7512
mp-756262,KLi4CrO5,0.077983385,1.0179
mp-556902,KLi4NbO5,0,3.777
mp-23582,KLi6BiO6,0,1.4216
mp-9059,KLi6TaO6,0,4.3852
mp-707956,KLi7(H2N)8,0.021579545,2.6055
mp-6648,KLiB4O7,0,5.0827
mp-6253,KLiBeF4,0,6.8618
mp-562137,KLiCO3,0,4.5495
mp-753408,KLiCoO2,0.009855604,1.262
mp-555206,KLiCrO4,0,2.8534
mp-1211571,KLiDy2(MoO4)4,0.017890152,3.2809
mp-1211461,KLiDyF5,0,7.3887
mp-1211563,KLiEr2(MoO4)4,0.014006997,3.2596
mp-1211459,KLiErF5,0.001486168,7.4694
mp-1211850,KLiGd2(MoO4)4,0.016958213,2.9099
mp-1211585,KLiGdF5,0,4.5921
mp-760342,KLiH2WO5,0.004747121,4.9734
mp-699460,KLiH4S2(NO3)2,0.06356587,5.1939
mp-1211688,KLiHo2(MoO4)4,0.018801413,3.226
mp-1211494,KLiHoF5,0,7.378
mp-1211661,KLiLu2(MoO4)4,0.046840249,3.1597
mp-1211480,KLiLuF5,0,7.4932
mp-1040366,KLiMg30O31,0.072488903,2.6691
mp-1189006,KLiMn2(SiO3)4,0.000631326,2.041
mp-770699,KLiMnO2,0.027014696,1.067
mp-759967,KLiMnP3HO10,0.044531038,3.4165
mp-753940,KLiMnS2,0,0.5546
mp-1199453,KLiMoO4,0,4.4886
mp-581225,KLiNd2(MoO4)4,0,3.2028
mp-774921,KLiNiO2,0.056536961,1.791
mp-559612,KLiO,0.012296178,2.3803
mp-690708,KLiPH2O4F,0.038164511,4.7556
mp-8430,KLiS,0,3.0571
mp-8756,KLiSe,0,2.5249
mp-558102,KLiSi2O5,0,4.7068
mp-1211510,KLiSm2(MoO4)4,0.008683669,3.3373
mp-1178142,KLiSnO2,0.030246993,2.0401
mp-6800,KLiSO4,0,5.3423
mp-1211713,KLiTb2(MoO4)4,0.017209554,3.3146
mp-1211435,KLiTbF5,0,7.3874
mp-4495,KLiTe,0,2.4134
mp-776444,KLiTi2(PO5)2,0.019701434,3.1523
mp-1211810,KLiTm2(MoO4)4,0.01439243,3.2004
mp-1194722,KLiTmF5,0.002222004,7.3809
mp-1212005,KLiWO4,0,4.8086
mp-1211586,KLiY2(MoO4)4,0.030081301,3.2822
mp-556237,KLiYF5,0.000250228,7.1638
mp-1223469,KLiZn3O4,0,1.643
mp-551092,KLiZnO2,0,2.0766
mp-554164,KLiZnP2O7,0,4.2904
mp-774907,KLiZnS2,0,2.4361
mp-16282,KNa2Li3Cr2(Si2O5)6,0,4.3993
mp-16283,KNa2Li3Fe2(Si2O5)6,0,4.6926
mp-510635,KNa2LiTi2Fe2(SiO3)8,0,2.0557
