formula,SIC,,,,,,
CsLi2I3,0.05884828,,,,,,
CsLi3Br4,0.0630706,,,,,,
CsLi3Cl4,0.5117847,,,,,,
CsLi3F4,0.2715299,,,,,,
CsLi3I4,0.06239008,,,,,,
CsLi4(BO2)5,0.7580608,,,,,,
CsLi5(BO3)2,0.80405915,,,,,,
CsLi5Mn(P2O7)2,0.04279445,,,,,,
CsLi7(NiO3)2,0.0162106,,,,,,
CsLiBeF4,0.07455496,,,,,,
CsLiBr2,0.30009478,,,,,,
CsLiCl2,0.32739572,,,,,,
CsLiCrO4,0.11019528,,,,,,
CsLiF2,0.26289618,,,,,,
CsLiH4SO5,0.08258589,,,,,,
CsLiI2,0.4885952,,,,,,
CsLiICl,0.9331398,,,,,,
CsLiMg30O31,0.03133052,,,,,,
CsLiMg6O7,0.05587554,,,,,,
CsLiMnP3HO10,0.17204854,,,,,,
CsLiMnS2,0.4674673,,,,,,
CsLiMoO4,0.11750982,,,,,,
CsLiN2,0.18710162,,,,,,
CsLiO,0.252216615,,,,,,
CsLiSO4,0.05789056,,,,,,
CsLiTa(PO4)2,0.01817038,,,,,,
CsLiWO4,0.2310898,,,,,,
CsLiZnS2,0.4674673,,,,,,
CsNa3Li12(GeO4)4,0.04030107,,,,,,
K11Li4Ta15O45,0.01473687,,,,,,
K11LiMn4O16,0.08830451,,,,,,
K2Li(H2N)3,0.00985327,,,,,,
K2Li14Pb3O14,0.10405166,,,,,,
K2Li14Zr3O14,0.11551107,,,,,,
K2Li2CoO4,0.159957195,,,,,,
K2Li2FeO4,0.16976437,,,,,,
K2Li2NiO4,0.16555921,,,,,,
K2Li2TiO4,0.02237619,,,,,,
K2Li3B(P2O7)2,0.14051344,,,,,,
K2Li3CoO4,0.16927746,,,,,,
K2Li3CrO4,0.173703,,,,,,
K2Li3FeO4,0.16994223,,,,,,
K2Li3GaO4,0.16386089,,,,,,
K2Li3MnO4,0.17293555,,,,,,
K2Li3NiO4,0.16319612,,,,,,
K2LiAlF6,0.170252473,,,,,,
K2LiAlH6,0.234048905,,,,,,
K2LiAlP2,0.35989475,,,,,,
K2LiAsF6,0.10711809,,,,,,
K2LiAuCl6,0.36949927,,,,,,
K2LiAuF6,0.23240581,,,,,,
K2LiB(PO4)2,0.2654451,,,,,,
K2LiBiBr6,0.3948844,,,,,,
K2LiBiCl6,0.39053792,,,,,,
K2LiBiF6,0.23415847,,,,,,
K2LiBiI6,0.39882776,,,,,,
K2LiBO3,0.4356845,,,,,,
K2LiCeBr6,0.3948844,,,,,,
K2LiCeCl6,0.3912329,,,,,,
K2LiCeI6,0.39882776,,,,,,
K2LiCoF6,0.13230604,,,,,,
